text,label
"This charger was really great, it's outstanding overall.",2
"I'm very disappointed with the package, I regret this purchase.",0
"The printer exceeded my expectations, it's outstanding overall.",2
"I received this game on time, no surprises here.",1
"The monitor performs better than I imagined, couldn't be happier with the result.",2
"The package is okay, meets basic requirements.",1
"I regret ever buying this laptop, completely unusable.",0
"The speaker arrived quickly and works flawlessly, it's outstanding overall.",2
"This chair is similar to other options, standard packaging and delivery.",1
"This backpack arrived as ordered, it's just average.",1
"This product does the job, it's just average.",1
"The restaurant is similar to other options, no complaints or praise really.",1
"The phone failed to meet even basic expectations, and a complete waste of money.",0
"This tablet is an average option, meets basic requirements.",1
"This jacket is okay, no surprises here.",1
"The printer was really great, and I'm very satisfied.",2
"I'm very disappointed with this course platform, very upsetting experience.",0
"I received this chair on time, no complaints or praise really.",1
"This product was terrible, and a complete waste of money.",0
"This movie does the job, standard packaging and delivery.",1
"The hotel performs adequately, average performance overall.",1
"The speaker is low quality, support ignored me completely.",0
"The speaker works as expected, no complaints or praise really.",1
"The monitor failed to meet even basic expectations, not worth the price at all.",0
"The quality of this subscription is poor, very unsatisfied overall.",0
"This subscription stopped working after one day, nothing works properly.",0
"The router is low quality, nothing works properly.",0
"The keyboard is low quality, and a complete waste of money.",0
"This backpack stopped working after one day, very unsatisfied overall.",0
"This jacket didn't work at all, nothing works properly.",0
"This chair was terrible, very upsetting experience.",0
"I have mixed feelings about this app, it's fine for everyday use.",1
"The delivery failed to meet even basic expectations, support ignored me completely.",0
"The router arrived as ordered, no surprises here.",1
"The printer was a complete letdown, support ignored me completely.",0
"This tablet was really great, exactly what I needed.",2
"This product is exactly what I hoped for, it works perfectly every time.",2
"The restaurant is neither impressive nor bad, nothing more nothing less.",1
"This movie didn't work at all, very unsatisfied overall.",0
"This jacket matched the description, nothing more nothing less.",1
"This laptop is an average option, nothing more nothing less.",1
"The quality of the gym membership is superb, exactly what I needed.",2
"This subscription performs adequately, no complaints or praise really.",1
"I had a horrible experience with this blender, total failure, do not buy.",0
"This app made everything so much easier, I'm extremely pleased with it.",2
"The restaurant is fine, no complaints or praise really.",1
"This laptop works like a charm, it works perfectly every time.",2
"The customer support performs better than I imagined, and I'm very satisfied.",2
"This mattress works as expected, no complaints or praise really.",1
"The router is a decent choice, no surprises here.",1
"The package didn't work at all, I regret this purchase.",0
"The package was a complete letdown, very unsatisfied overall.",0
"The watch does the job, it's fine for everyday use.",1
"The price of the monitor is reasonable, meets basic requirements.",1
"The headphones exceeded my expectations, couldn't be happier with the result.",2
"This jacket is exactly what I hoped for, totally worth every penny.",2
"The delivery does the job, no surprises here.",1
"The customer support was really great, totally worth every penny.",2
"The customer support is low quality, worst purchase I've made.",0
"The price of the restaurant is reasonable, nothing more nothing less.",1
"The speaker arrived as ordered, no complaints or praise really.",1
"I'm impressed by the headphones, I'm extremely pleased with it.",2
"This backpack works fine for basic needs, it's just average.",1
"This jacket works like a charm, I would definitely recommend it.",2
"The package is okay, it's fine for everyday use.",1
"The headphones was terrible, and a complete waste of money.",0
"The shoes stopped working after one day, worst purchase I've made.",0
"This software is an average option, no surprises here.",1
"I'm frustrated with the customer support, not worth the price at all.",0
"The service exceeded my expectations, best purchase I've made this year.",2
"This backpack is similar to other options, it's fine for everyday use.",1
"This tablet is similar to other options, no complaints or praise really.",1
"This subscription has excellent quality, best purchase I've made this year.",2
"This software made everything so much easier, best purchase I've made this year.",2
"This book arrived as ordered, average performance overall.",1
"I'm so happy with this subscription, absolutely fantastic experience.",2
"The printer works fine for basic needs, no complaints or praise really.",1
